step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,balance_shift_diff,balanced,log_amount,log_oldbalanceOrg,log_oldbalanceDest,log_newbalanceOrig,log_newbalanceDest,sender_zero_balance,recipient_zero_balance
19,CASH_OUT,156435.77,C1306155018,0.0,0.0,C10389336,350075.23,329337.6,0,20737.630000000005,False,11.960407181762923,0.0,12.76590620975062,0.0,12.70484167983686,1,0
9,CASH_OUT,159022.13,C1970395543,100332.0,0.0,C1875625456,0.0,159022.13,0,-58690.130000000005,False,11.9768049423205,11.516249932798248,0.0,0.0,11.9768049423205,0,1
35,CASH_OUT,281322.81,C870758580,11308.0,0.0,C1388202553,107819.35,389142.16,0,-270014.80999999994,False,12.547261633626135,9.333354147871328,11.588221695151383,0.0,12.871702575463178,0,0
38,CASH_OUT,63142.96,C2094408841,0.0,0.0,C221397311,73531.14,136674.1,0,-63142.96000000001,False,11.053172477915341,0.0,11.205477868533931,0.0,11.825361855425635,1,0
41,CASH_OUT,370542.5,C730868144,10054.0,0.0,C849704466,281294.97,651837.47,0,-360488.5,False,12.822726125733276,9.215825302206753,12.54716266803334,0.0,13.387552064816056,0,0
19,CASH_OUT,199621.12,C386692255,517.0,0.0,C251261155,0.0,0.0,0,517.0,False,12.204181458362523,6.249975242259483,0.0,0.0,0.0,0,1
39,CASH_OUT,385800.94,C774650245,9914.0,0.0,C1307538437,62624.41,448425.35,0,-375886.94,False,12.863079407953306,9.201804040953895,11.044926385271923,0.0,13.013499732949562,0,0
44,CASH_OUT,33565.24,C1055515348,623026.79,589461.55,C751411028,4183906.98,4217472.22,0,2.3283064365386963e-10,True,10.421276078934918,13.342346403516313,15.246756291177201,13.286966468527638,15.254746743648846,0,0
19,CASH_OUT,150709.69,C651449384,0.0,0.0,C1760752420,11407.0,162116.69,0,-150709.69,False,11.923117317732483,0.0,9.342070142654077,0.0,11.996077831936068,1,0
48,TRANSFER,405281.85,C1322005580,4572.0,0.0,C702637641,0.0,405281.85,0,-400709.85,False,12.912340497386063,8.427924723658055,0.0,0.0,12.912340497386063,0,1
40,CASH_OUT,73029.78,C699212862,227274.0,154244.22,C1178961725,1165.65,74195.43,0,0.0,True,11.198636275099362,12.33391601699006,7.061891672993068,11.946298952632695,11.214471314790448,0,0
84,CASH_OUT,39379.45,C743472915,39379.45,0.0,C165832169,188532.97,227912.43,1,-0.0099999999947613,True,10.581024779248192,10.581024779248192,12.147033481835527,0.0,12.33672114285249,0,0
15,CASH_OUT,89358.05,C2010850616,0.0,0.0,C348256295,9233088.33,9322446.38,0,-89358.05000000075,False,11.400417802531692,0.0,16.038304255786485,0.0,16.047935746610495,1,0
15,CASH_OUT,13953.24,C1963232017,0.0,0.0,C1726321434,510462.23,524415.48,0,-13953.25,False,9.54353868372063,0.0,13.143073886568663,0.0,13.170041456769951,1,0
9,CASH_OUT,5086.35,C1550543572,32503.0,27416.65,C239562427,11248.0,627434.62,0,-611100.27,False,8.534512345286704,10.389118437667562,9.328034514792826,10.218942245577727,13.34939634711502,0,0
93,CASH_OUT,134946.74,C1265365091,26093.77,0.0,C480491806,343867.79,478814.53,0,-108852.97000000004,False,11.812642871362607,10.169490190089638,12.748015439176134,0.0,13.079070687394747,0,0
41,CASH_OUT,123884.31,C751192030,0.0,0.0,C52641413,134334.83,258219.14,0,-123884.31000000004,False,11.727111497230498,0.0,11.808098137695941,0.0,12.461567755901903,1,0
37,CASH_OUT,362158.02,C1850033245,51941.0,0.0,C1430351444,0.0,450505.58,0,-398564.58,False,12.799838676119874,10.857882990443828,0.0,0.0,13.018127961917203,0,1
11,CASH_OUT,386268.04,C1162241354,94064.0,0.0,C378098805,0.0,386268.04,0,-292204.04,False,12.86428940047754,11.45174131164523,0.0,0.0,12.86428940047754,0,1
17,CASH_OUT,107536.49,C102633320,0.0,0.0,C1807964188,555383.28,662919.77,0,-107536.49,False,11.585594809938781,0.0,13.227415549529173,0.0,13.404410759764591,1,0
44,CASH_OUT,200944.16,C1032872622,32115.0,0.0,C975774677,2799657.74,3000601.9,0,-168829.15999999968,False,12.210787313993853,10.377109627304575,14.845008089146207,0.0,14.914323793107956,0,0
18,TRANSFER,1457840.52,C435159253,771157.0,0.0,C1476163268,0.0,2076138.57,0,-1304981.57,False,14.192467488797817,13.555648560214529,0.0,0.0,14.546020751258546,0,1
